"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181030_190507",13096,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000431",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",6292,0,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000432",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",6973,0.9458,"APRU","Aphareus rutilans","Lehi",3,"MaxN","00000433",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",10843,6.3208,"CAOR","Carangoides orthogrammus","Island trevally",NA,"non-target","00000434",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",14221,11.0125,"WRAS","Labrid","Wrasse sp.",NA,"non-target","00000435",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",14408,11.2722,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000436",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_191558",15304,12.5167,"APVI","Aprion virescens","Green jobfish",NA,"non-target","00000437",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_203608",13798,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000438",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_204736",13700,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000439",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210209",5943,4.3722,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000440",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210209",9584,9.4292,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000441",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",2828,0,"ACXA","Acanthurus xanthopterus","Yellowfin surgeonfish",NA,"non-target","00000442",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",2874,0.0639,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000443",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",2920,0.1278,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000444",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",3332,0.7,"HEDI","Heniochus diphreutus","False moorish idol",NA,"non-target","00000445",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",4090,1.7528,"LUKA","Lutjanus kasmira","Bluestripe snapper",NA,"non-target","00000446",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",4459,2.2653,"BOAL","Bodianus albotaeniatus","Hawaiian hogfish",NA,"non-target","00000447",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",5442,3.6306,"DAMS","Chromis sp.","Damselfish sp.",NA,"non-target","00000448",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",5627,3.8875,"SUFR","Sufflamen fraenatum","Bridled Triggerfish",NA,"non-target","00000449",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",10709,10.9458,"APRU","Aphareus rutilans","Lehi",1,"MaxN","00000450",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_210835",11528,12.0833,"GYSP","Gymnothorax sp.","Moray sp.",NA,"non-target","00000451",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_211040",13883,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000452",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_211753",12020,12.4194,"DASY","Dasyatis sp.","Stingray sp.",NA,"non-target","00000453",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_215730",4232,1.0042,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000454",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_221125",2803,0.2208,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000455",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_221125",2858,0.2972,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000456",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_221125",3580,1.3,"MUPF","Mulloidichthys pfluegeri","Orange goatfish",NA,"non-target","00000457",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_221125",5179,3.5208,"WRAS","Labrid","Wrasse sp.",NA,"non-target","00000458",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_221125",5999,4.6597,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000459",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_230820",5927,4.4944,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000460",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_232528",8797,8.7361,"CAOR","Carangoides orthogrammus","Island trevally",NA,"non-target","00000461",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_232528",8881,8.8528,"GOAT","Mullid sp.","Goatfish sp.",NA,"non-target","00000462",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181124_232528",9877,10.2361,"DESP","Decapterus sp.","Mackerel scad sp.",NA,"non-target","00000463",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",2189,0,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000464",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",2546,0.4958,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000465",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",3400,1.6819,"GOAT","Mullid","Goatfish sp.",NA,"non-target","00000466",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",8240,8.4042,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000467",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",9021,9.4889,"PRFI","Pristipomoides filamentosus","Opakapaka",1,"MaxN","00000468",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_001521",12825,14.7722,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000469",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_002317",3887,1.8833,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000470",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_011101",4726,4.1514,"CASP","Carcharhinus sp.","Shark sp.",NA,"non-target","00000471",NA,NA,2019-08-16 16:01:11,"BFISH"
"BFISH_2018_F","SE1806","20181125_011101",10506,12.1792,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000472",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_011828",2429,0.3167,"SUFR","Sufflamen fraenatum","Bridled Triggerfish",NA,"non-target","00000473",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_011828",3386,1.6458,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000474",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_174426",2478,0.5347,"NONE","No Fish in Drop","NONE",NA,NA,"00000475",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_175201",12794,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000476",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_190743",14352,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000477",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_191413",15720,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000478",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_195414",14311,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000479",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_200143",14272,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000480",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181125_204104",14235,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000481",NA,NA,NA,NA
